"planet_id";"planet_name";"planet_status";"mass";"mass_error_min";"mass_error_max";"mass_sini";"mass_sini_error_min";"mass_sini_error_max";"radius";"radius_error_min";"radius_error_max";"orbital_period";"orbital_period_error_min";"orbital_period_error_max";"semi_major_axis";"semi_major_axis_error_min";"semi_major_axis_error_max";"eccentricity";"eccentricity_error_min";"eccentricity_error_max";"inclination";"inclination_error_min";"inclination_error_max";"angular_distance";"discovered";"updated";"omega";"omega_error_min";"omega_error_max";"tperi";"tperi_error_min";"tperi_error_max";"tconj";"tconj_error_min";"tconj_error_max";"tzero_tr";"tzero_tr_error_min";"tzero_tr_error_max";"tzero_tr_sec";"tzero_tr_sec_error_min";"tzero_tr_sec_error_max";"lambda_angle";"lambda_angle_error_min";"lambda_angle_error_max";"impact_parameter";"impact_parameter_error_min";"impact_parameter_error_max";"tzero_vr";"tzero_vr_error_min";"tzero_vr_error_max";"k";"k_error_min";"k_error_max";"temp_calculated";"temp_calculated_error_min";"temp_calculated_error_max";"temp_measured";"hot_point_lon";"geometric_albedo";"geometric_albedo_error_min";"geometric_albedo_error_max";"log_g";"publication";"detection_type";"mass_detection_type";"radius_detection_type";"alternate_names";"molecules";"star_name";"ra";"dec";"mag_v";"mag_i";"mag_j";"mag_h";"mag_k";"star_distance";"star_distance_error_min";"star_distance_error_max";"star_metallicity";"star_metallicity_error_min";"star_metallicity_error_max";"star_mass";"star_mass_error_min";"star_mass_error_max";"star_radius";"star_radius_error_min";"star_radius_error_max";"star_sp_type";"star_age";"star_age_error_min";"star_age_error_max";"star_teff";"star_teff_error_min";"star_teff_error_max";"star_detected_disc";"star_magnetic_field";"star_alternate_names";"x";"y";"z";"star_id";"distance_to_host_star"
433;"HATS-30 b";"Confirmed";"0.706";"0.039";"0.039";;;;"1.175";"0.052";"0.052";"3.1743516";"2.6e-06";"2.6e-06";"0.04354";"0.00042";"0.00042";"0.048";"0.048";"0.048";"86.84";"0.48";"0.48";;2016;"2016-07-28";;;;;;;;;;"2456629.76156";"0.00036";"0.00036";;;;;;;"0.487";"0.061";"0.052";;;;"91.8";"4.7";"4.7";;;;;;;;;;"Published in a refereed paper";"Primary Transit";"Radial Velocity";"Primary Transit";;;"HATS-30";5.61870834283;-59.9425555816;"12.192";;;;;339;"16.0";"16.0";"0.06";"0.05";"0.05";"1.093";"0.031";"0.031";"1.061";"0.039";"0.039";;"2.3";"1.2";"1.2";"5943.0";"70.0";"70.0";;;"2MASS 00222848-5956331, GSC 8471-00231";168.978479752443;16.6241922620373;-293.412524634154;83221;3.55909025054053
480;"HATS-72 b";"Confirmed";"0.1254";"0.0039";"0.0039";;;;"0.7224";"0.0032";"0.0032";"7.3279474";"1.6e-06";"1.6e-06";"0.066517";"8.5e-05";"8.5e-05";"0.013";"0.013";"0.0";"88.56";"0.05";"0.07";;2020;"2020-02-17";;;;;;;;;;"2458087.64782";"7.5e-05";"7.5e-05";;;;;;;"0.153";"0.023";"0.17";;;;"16.5";"0.51";"0.51";"739.3";"1.6";"1.6";;;;;;;"Published in a refereed paper";"Primary Transit";"Spectrum";"Primary Transit";;;"HATS-72";339.025000002;-17.00000002;"12.7";;;;;127.66;"0.52";"0.52";"0.099";"0.014";"0.014";"0.7311";"0.0028";"0.0028";"0.7214";"0.0021";"0.0021";;"12.17";"0.45";"0.24";"4656.1";"8.9";"8.9";;;;113.99231850815;-43.7004933100349;-37.3241718675192;34680;4.53221210614833
483;"HD 100655 b";"Confirmed";;;;"1.7";"0.2";"0.1";;;;"157.57";"0.65";"0.65";"0.76";"0.04";"0.04";"0.085";"0.054";"0.054";;;;"0.00623";2011;"2014-05-25";"132.0";"37.0";"37.0";"2453072.4";"15.9";"15.9";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Radial Velocity";;;;;"HD 100655";173.7666667;20.4416667;"6.45";;;;;122;"8.0";"8.0";"0.15";"0.12";"0.12";"2.4";"0.4";"0.4";"9.3";"1.1";"1.1";"G9III";;;;"4861.0";"110.0";"110.0";;;;-113.641598007704;12.4123266363158;42.6089350926404;32432;0.249345688024886
484;"HD 100777 b";"Confirmed";;;;"1.16";"0.03";"0.03";;;;"383.7";"1.2";"1.2";"1.03";"0.03";"0.03";"0.36";"0.02";"0.02";;;;"0.019508";2007;"2014-08-30";"202.7";"3.1";"3.1";"2453456.2";"2.3";"2.3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Radial Velocity";;;;;"HD 100777";173.9666667;-4.7558333;"8.42";;;;;52.8;"3.4";"3.4";"0.27";"0.03";"0.03";"1.0";"0.1";"0.1";;;;"K0";"2.0";"nan";"inf";"5582.0";"24.0";"24.0";;;;-52.3267563582348;5.53054433361172;-4.37763045492576;8627;3.19680121746304
485;"HD 10180 c";"Confirmed";;;;"0.041217";;;;;;"5.75979";"0.00062";"0.00062";"0.0641";"0.001";"0.001";"0.045";"0.026";"0.026";;;;"0.001627";2010;"2012-01-30";"332.0";"43.0";"43.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Radial Velocity";;;;;"HD 10180";24.475;-60.5116667;"7.33";;;;;39.4;"1.0";"1.0";"0.08";"0.01";"0.01";"1.06";"0.05";"0.05";;;;"G1V";"4.3";"0.5";"0.5";"5911.0";"19.0";"19.0";;;;17.6517562822264;8.03506900370172;-34.2959642853009;5742;0.383200711086403
486;"HD 10180 d";"Confirmed";;;;"0.03696945";;;;;;"16.3579";"0.038";"0.038";"0.1286";"0.002";"0.002";"0.088";"0.041";"0.041";;;;"0.003264";2010;"2012-01-30";"315.0";"33.0";"33.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Radial Velocity";;;;;"HD 10180";24.475;-60.5116667;"7.33";;;;;39.4;"1.0";"1.0";"0.08";"0.01";"0.01";"1.06";"0.05";"0.05";;;;"G1V";"4.3";"0.5";"0.5";"5911.0";"19.0";"19.0";;;;17.6517562822264;8.03506900370172;-34.2959642853009;5742;0.383200711086403
487;"HD 10180 e";"Confirmed";;;;"0.07897304";;;;;;"49.745";"0.022";"0.022";"0.2699";"0.0042";"0.0042";"0.026";"0.036";"0.036";;;;"0.00685";2010;"2012-01-30";"166.0";"110.0";"110.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Radial Velocity";;;;;"HD 10180";24.475;-60.5116667;"7.33";;;;;39.4;"1.0";"1.0";"0.08";"0.01";"0.01";"1.06";"0.05";"0.05";;;;"G1V";"4.3";"0.5";"0.5";"5911.0";"19.0";"19.0";;;;17.6517562822264;8.03506900370172;-34.2959642853009;5742;0.383200711086403
488;"HD 10180 f";"Confirmed";;;;"0.07519743";;;;;;"122.76";"0.17";"0.17";"0.4929";"0.0078";"0.0078";"0.135";;;;;;"0.01251";2010;"2012-01-30";"332.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Radial Velocity";;;;;"HD 10180";24.475;-60.5116667;"7.33";;;;;39.4;"1.0";"1.0";"0.08";"0.01";"0.01";"1.06";"0.05";"0.05";;;;"G1V";"4.3";"0.5";"0.5";"5911.0";"19.0";"19.0";;;;17.6517562822264;8.03506900370172;-34.2959642853009;5742;0.383200711086403
489;"HD 10180 g";"Confirmed";;;;"0.06733159";;;;;;"601.2";"8.1";"8.1";"1.422";"0.026";"0.026";"0.19";"0.14";"0.14";;;;"0.036091";2010;"2010-12-06";"347.0";"49.0";"49.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Radial Velocity";;;;;"HD 10180";24.475;-60.5116667;"7.33";;;;;39.4;"1.0";"1.0";"0.08";"0.01";"0.01";"1.06";"0.05";"0.05";;;;"G1V";"4.3";"0.5";"0.5";"5911.0";"19.0";"19.0";;;;17.6517562822264;8.03506900370172;-34.2959642853009;5742;0.383200711086403
490;"HD 10180 h";"Confirmed";;;;"0.202624";;;;;;"2222.0";"91.0";"91.0";"3.4";"0.11";"0.11";"0.08";"0.07";"0.07";;;;"0.086294";2010;"2010-12-06";"174.0";"74.0";"74.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Radial Velocity";;;;;"HD 10180";24.475;-60.5116667;"7.33";;;;;39.4;"1.0";"1.0";"0.08";"0.01";"0.01";"1.06";"0.05";"0.05";;;;"G1V";"4.3";"0.5";"0.5";"5911.0";"19.0";"19.0";;;;17.6517562822264;8.03506900370172;-34.2959642853009;5742;0.383200711086403
