"planet_id";"planet_name";"planet_status";"mass";"mass_error_min";"mass_error_max";"mass_sini";"mass_sini_error_min";"mass_sini_error_max";"radius";"radius_error_min";"radius_error_max";"orbital_period";"orbital_period_error_min";"orbital_period_error_max";"semi_major_axis";"semi_major_axis_error_min";"semi_major_axis_error_max";"eccentricity";"eccentricity_error_min";"eccentricity_error_max";"inclination";"inclination_error_min";"inclination_error_max";"angular_distance";"discovered";"updated";"omega";"omega_error_min";"omega_error_max";"tperi";"tperi_error_min";"tperi_error_max";"tconj";"tconj_error_min";"tconj_error_max";"tzero_tr";"tzero_tr_error_min";"tzero_tr_error_max";"tzero_tr_sec";"tzero_tr_sec_error_min";"tzero_tr_sec_error_max";"lambda_angle";"lambda_angle_error_min";"lambda_angle_error_max";"impact_parameter";"impact_parameter_error_min";"impact_parameter_error_max";"tzero_vr";"tzero_vr_error_min";"tzero_vr_error_max";"k";"k_error_min";"k_error_max";"temp_calculated";"temp_calculated_error_min";"temp_calculated_error_max";"temp_measured";"hot_point_lon";"geometric_albedo";"geometric_albedo_error_min";"geometric_albedo_error_max";"log_g";"publication";"detection_type";"mass_detection_type";"radius_detection_type";"alternate_names";"molecules";"star_name";"ra";"dec";"mag_v";"mag_i";"mag_j";"mag_h";"mag_k";"star_distance";"star_distance_error_min";"star_distance_error_max";"star_metallicity";"star_metallicity_error_min";"star_metallicity_error_max";"star_mass";"star_mass_error_min";"star_mass_error_max";"star_radius";"star_radius_error_min";"star_radius_error_max";"star_sp_type";"star_age";"star_age_error_min";"star_age_error_max";"star_teff";"star_teff_error_min";"star_teff_error_max";"star_detected_disc";"star_magnetic_field";"star_alternate_names";"x";"y";"z";"star_id";"distance_to_host_star"
1026;"HD 69830 d";"Confirmed";"0.2529";"0.1644";"inf";"0.0569";;;;;;"200.57";"0.37";"0.37";"0.63";;;"0.1";"0.06";"0.06";"13.0";"13.0";"27.0";"0.05";2006;"2019-02-13";"224.0";"61.0";"61.0";"2453358.0";"34.0";"34.0";;;;;;;;;;;;;;;;;;;"1.77";"0.12";"0.12";;;;;;;;;;"Published in a refereed paper";"Radial Velocity";"Radial Velocity";;;;"HD 69830";124.5958333;-12.6319444;"5.95";;;;;12.6;;;"-0.05";"0.02";"0.02";"0.86";"0.03";"0.03";"0.895";"0.005";"0.005";"K0V";"7.0";"3.0";"3.0";"5385.0";"20.0";"20.0";"IR Excess";;;-6.98091240526142;10.1209832148369;-2.75546017119775;589;0.105930356079099
1027;"HD 70642 b";"Confirmed";;;;"2.0";;;;;;"2231.0";"400.0";"400.0";"3.3";;;"0.1";"0.06";"0.06";;;;"0.114583";2003;"2010-12-31";"277.0";"75.0";"75.0";"2451749.0";"300.0";"300.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Radial Velocity";;;;;"HD 70642";125.3666667;-39.7052778;"7.17";;;;;28.8;;;"0.16";"0.02";"0.02";"1.0";"0.05";"0.05";"0.84";;;"G5 IV-V";"3.88";;;"5670.0";"20.0";"20.0";;;;-12.8246306680978;18.0682608739428;-18.3985542154277;3636;0.733369772496818
1028;"HD 7199 b";"Confirmed";;;;"0.29";"0.023";"0.023";;;;"615.0";"7.0";"7.0";"1.36";"0.02";"0.02";"0.19";"0.13";"0.13";;;;"0.037778";2011;"2011-08-01";"155.0";"64.0";"64.0";"2455030.0";"277.0";"277.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Radial Velocity";;;;;"HD 7199";17.6958333;-66.1880556;"8.06";;;;;36;"1.0";"1.0";"0.28";"0.03";"0.03";"0.89";;;"0.96";;;"K0IV/V";"6.79";"0.78";"0.78";"5386.0";"45.0";"45.0";;;;13.846776785231;4.41796065641482;-32.9355187646765;4938;0.701699467507604
1030;"HD 72659 b";"Confirmed";;;;"3.15";"0.14";"0.14";;;;"3658.0";"32.0";"32.0";"4.74";"0.08";"0.08";"0.22";"0.03";"0.03";;;;"0.095181";2002;"2010-12-19";"260.7";"6.5";"6.5";"55351.0";"59.0";"59.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Radial Velocity";;;;;"HD 72659";128.5125;-1.5680556;"7.46";;;;;49.8;"2.0";"2.0";"-0.02";"0.01";"0.01";"0.95";"2.0";"2.0";"1.36";"0.06";"0.06";"G2 V";"6.5";"1.5";"1.5";"5926.0";"62.0";"62.0";;;;-30.9981186416748;38.9525297285329;-1.36274297811948;8704;0.0256094390456142
1031;"HD 72892 b";"Confirmed";;;;"5.45";"0.37";"0.37";;;;"39.475";"0.004";"0.004";"0.228";"0.008";"0.008";"0.423";"0.006";"0.006";;;;;2016;"2016-04-02";"353.0";"0.8";"0.8";;;;;;;;;;;;;;;;;;;;;;"318.4";"4.5";"4.5";;;;;;;;;;"Published in a refereed paper";"Radial Velocity";"Radial Velocity";;;;"HD 72892";128.720833351;-14.456666681;"8.83";;;;;72.78;"4.4";"4.4";"0.25";"0.1";"0.1";"1.02";"0.05";"0.05";"1.22";"0.06";"0.06";"G5V";"8.0";"3.0";"3.0";"5688.0";"100.0";"100.0";;;;-44.0843143854101;54.9852340230574;-18.1693605995901;15557;0.00208900579126725
1032;"HD 73267 b";"Confirmed";;;;"3.06";"0.07";"0.07";;;;"1260.0";"7.0";"7.0";"2.198";"0.025";"0.025";"0.256";"0.009";"0.009";;;;"0.040029";2008;"2014-08-27";"229.1";"1.8";"1.8";"2451821.7";"16.0";"16.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Radial Velocity";;;;;"HD 73267";129.075;-34.46;"8.9";;;;;54.91;"3.0";"3.0";"0.03";"0.02";"0.02";"0.89";"0.03";"0.03";"1.04";;;"G5V";"7.4";"4.5";"4.5";"5317.0";"34.0";"34.0";;;;-28.5381801585959;35.1475459008545;-31.069766500295;9924;0.709499944128988
1033;"HD 73526 b";"Confirmed";;;;"2.25";"0.12";"0.12";;;;"188.9";"0.1";"0.1";"0.65";"0.01";"0.01";"0.29";"0.03";"0.03";;;;"0.006667";2002;"2016-01-20";"196.0";"5.0";"5.0";"2452856.0";"2.0";"2.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Radial Velocity";;;;;"HD 73526";129.3166667;-41.3188889;"9.0";;;;;99;;;"0.25";"0.05";"0.05";"1.08";"0.05";"0.05";"1.49";;;"G6 V";"5.59";;;"5590.0";;;"IR Excess";;;-47.1108858567763;57.5241071157709;-65.3646810924915;24902;1.70490232552136
1034;"HD 73526 c";"Confirmed";;;;"2.25";"0.13";"0.13";;;;"379.1";"0.5";"0.5";"1.03";"0.02";"0.02";"0.28";"0.05";"0.05";;;;"0.010606";2006;"2016-01-20";"272.0";"10.0";"10.0";"2453300.0";"10.0";"10.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Radial Velocity";;;;;"HD 73526";129.3166667;-41.3188889;"9.0";;;;;99;;;"0.25";"0.05";"0.05";"1.08";"0.05";"0.05";"1.49";;;"G6 V";"5.59";;;"5590.0";;;"IR Excess";;;-47.1108858567763;57.5241071157709;-65.3646810924915;24902;1.70490232552136
1035;"HD 73534 b";"Confirmed";;;;"1.15";;;;;;"1800.0";"110.0";"110.0";"3.15";;;"0.046";"0.08";"0.08";;;;"0.032478";2009;"2009-08-12";"59.0";"92.0";"92.0";"2453120.0";"830.0";"830.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Radial Velocity";;;;;"HD 73534";129.8166667;12.9602778;"8.24";;;;;96.99;;;"0.16";"0.04";"0.04";"1.29";"0.1";"0.1";"2.65";"0.1";"0.1";"G5IV";;;;"4952.0";"50.0";"50.0";;;;-60.523813587842;72.5999843625792;21.7524793836795;23413;4.72880002776961
1036;"HD 74156 b";"Confirmed";;;;"1.778";"0.02";"0.02";;;;"51.6385";"0.0015";"0.0015";"0.2916";"0.0033";"0.0033";"0.638";"0.0061";"0.0061";;;;"0.004554";2003;"2016-01-15";"175.35";"0.92";"0.92";"2450793.39";"0.11";"0.11";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Radial Velocity";;;;;"HD 74156";130.6041667;4.5780556;"7.62";;;;;64.56;"4.9";"4.9";"0.13";;;"1.24";"0.04";"0.04";"1.64";"0.19";"0.19";"G1V";"3.7";"0.4";"0.4";"5960.0";"100.0";"100.0";;;;-41.8834920384756;48.8591172148132;5.15299521172805;12903;0.127001494554738
1037;"HD 74156 c";"Confirmed";;;;"7.997";"0.095";"0.095";;;;"2448.9";"5.5";"5.5";"3.82";"0.044";"0.044";"0.3829";"0.008";"0.008";;;;"0.052664";2003;"2016-01-15";"268.9";"1.6";"1.6";"2448559.0";"15.0";"15.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Radial Velocity";;;;;"HD 74156";130.6041667;4.5780556;"7.62";;;;;64.56;"4.9";"4.9";"0.13";;;"1.24";"0.04";"0.04";"1.64";"0.19";"0.19";"G1V";"3.7";"0.4";"0.4";"5960.0";"100.0";"100.0";;;;-41.8834920384756;48.8591172148132;5.15299521172805;12903;0.127001494554738
1038;"HD 7449 A b";"Confirmed";;;;"0.508";"0.111";"0.111";;;;"1255.5";"5.1";"5.1";"2.38";"0.04";"0.04";"0.92";"0.03";"0.03";;;;"0.058974";2011;"2019-12-13";"69.9";"5.7";"5.7";"2455298.0";"22.0";"22.0";;;;;;;;;;;;;;;;;;;"21.9";"2.6";"2.6";;;;;;;;;;"Published in a refereed paper";"Radial Velocity";;;"HD 7449 b";;"HD 7449 A";18.6208333;-5.0475;"7.5";;;;;39;"1.0";"1.0";"-0.11";"0.01";"0.01";"1.05";;;"1.01";;;"F8V";"2.1";"0.24";"0.24";"6024.0";"13.0";"13.0";;;"HD 7449";36.8151213457965;12.4045614282595;-3.43128198590726;5718;0.0744766105409949
1039;"HD 7449 A c";"Confirmed";;;;"19.2";"4.2";"4.2";;;;"15441.0";"1059.0";"1059.0";"12.7";"0.6";"0.6";"0.0";;;;;;"0.127179";2011;"2019-12-13";"50.0";"16.0";"16.0";"2455883.0";"172.0";"172.0";;;;;;;;;;;;;;;;;;;"144.0";"31.0";"31.0";;;;;;;;;;"Published in a refereed paper";"Radial Velocity";;;"HD 7449 c";;"HD 7449 A";18.6208333;-5.0475;"7.5";;;;;39;"1.0";"1.0";"-0.11";"0.01";"0.01";"1.05";;;"1.01";;;"F8V";"2.1";"0.24";"0.24";"6024.0";"13.0";"13.0";;;"HD 7449";36.8151213457965;12.4045614282595;-3.43128198590726;5718;0.0744766105409949
1040;"HD 75289 b";"Confirmed";;;;"0.47";;;"1.03";;;"3.50928";"7.2946e-05";"7.2946e-05";"0.046";;;"0.0211";"0.0217";"0.0211";;;;"0.001589";1999;"2015-02-24";"136.3";"73.9";"73.9";"2452593.9";"0.48";"0.48";;;;;;;;;;;;;;;;;;;"54.84";"1.87";"1.87";;;;;;;;;;"Published in a refereed paper";"Radial Velocity";"Radial Velocity";"Theoretical";;;"HD 75289";131.9166667;-41.7366667;"6.35";;;;;28.94;;;"0.29";;;"1.05";;;"1.25";;;"G0 V";"4.96";;;"6120.0";"45.0";"45.0";;;;-14.4267757401044;16.0694979829846;-19.2655904742001;3801;0.206125764084212
1043;"HD 75898 b";"Confirmed";;;;"2.51";;;;;;"418.2";"5.7";"5.7";"1.19";;;"0.1";"0.05";"0.05";;;;"0.014768";2007;"2009-10-05";"263.7";"30.0";"30.0";"12907.0";"37.0";"37.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Announced on a professional conference";"Radial Velocity";;;;;"HD 75898";133.4625;33.0569444;"8.04";;;;;80.58;;;"0.27";"0.05";"0.05";"1.28";"0.13";"0.13";"1.6";"0.18";"0.18";"G0";"3.8";"0.8";"0.8";"6021.0";"50.0";"50.0";;;;-46.4569325818217;49.0196069360172;43.9541573793247;18198;4.57444543820523
1044;"HD 76700 b";"Confirmed";;;;"0.23";;;"0.99";;;"3.97101";"0.000203";"0.000203";"0.049";"0.004";"0.004";"0.0616";"0.0426";"0.0587";;;;"0.000821";2002;"2015-02-25";"12.3";"54.3";"54.3";"2452659.1";;;;;;;;;;;;;;;;;;"1219.9";"0.1";"0.1";"27.24";"1.31";"1.31";;;;;;;;;;"Published in a refereed paper";"Radial Velocity";"Radial Velocity";"Theoretical";;;"HD 76700";133.4791667;-66.8008333;"8.13";;;;;59.7;;;"0.14";;;"1.0";"0.05";"0.05";"1.33";;;"G6 V";"4.51";;;"5726.0";"28.0";"28.0";;;;-16.1821982069996;17.0649015254113;-54.872721794325;11688;0.577628574338172
1045;"HD 76920 b";"Confirmed";;;;"3.13";"0.43";"0.41";;;;"415.89";"0.04";"0.04";"1.187";"0.05";"0.05";"0.8782";"0.0025";"0.0025";;;;;2017;"2021-02-19";"68.0";"60.0";"60.0";"2454812.47";"0.3";"0.3";;;;;;;;;;;;;;;;;;;"178.1";"2.7";"2.7";;;;;;;;;;"Published in a refereed paper";"Radial Velocity";"Radial Velocity";;;;"HD 76920";133.820833339;-67.265555573;"7.8";;;;;184.8;"7.5";"7.5";"-0.11";"0.1";"0.1";"1.17";"0.2";"0.2";"7.47";"0.6";"0.6";"K1III";"7.1";;;"4698.0";"100.0";"100.0";;;;-49.4501612741282;51.5286327082492;-170.442135521652;52082;2.90048239329365
1046;"HD 77065 b";"Confirmed";;;;"41.0";"2.0";"2.0";;;;"119.1135";"0.0027";"0.0027";"0.438";"0.013";"0.013";"0.69397";"0.00036";"0.00036";;;;;2016;"2016-02-10";"105.972";"0.065";"0.065";"2456881.239";"0.006";"0.006";;;;;;;;;;;;;;;;;;;"2817.1";"1.6";"1.6";;;;;;;;;;"Published in a refereed paper";"Radial Velocity";"Radial Velocity";;;;"HD 77065";135.195833349;21.453611123;"8.8";;;;;31.7;;;"-0.51";"0.1";"0.1";"0.75";"0.06";"0.06";;;;"G5";;;;"4990.0";"100.0";"100.0";;;;-20.9334032004182;20.7907919860164;11.5942054080009;4259;0.026015128636224
1047;"HD 77338 b";"Confirmed";;;;"0.5";"0.025";"0.025";;;;"5.7561";"0.0015";"0.0015";"0.0614";"0.003";"0.003";;;;;;;;2012;"2013-01-17";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Radial Velocity";;;;;"HD 77338";135.3;-25.5269;"8.63";;;;;40.75;"1.76";"1.76";"0.35";"0.06";"0.06";"0.93";"0.05";"0.05";"0.88";"0.04";"0.04";"K0IV";"3.97";"4.23";"3.0";"5370.0";"82.0";"82.0";;;;-26.1375963023284;25.8653072477405;-17.5605933987577;6170;0.00134057741976737
1048;"HD 79211 b";"Confirmed";;;;"0.03231";"0.00434";"0.00463";;;;"24.45";"0.02";"0.02";"0.141";"0.005";"0.005";"0.11";"0.08";"0.11";;;;;2020;"2020-03-25";"204.3";"70.0";"94.4";"2457517.06";"4.72";"6.15";;;;;;;;;;;;;;;;;;;"3.07";"0.37";"0.37";;;;;;;;;;"Published in a refereed paper";"Radial Velocity";"Radial Velocity";;"GJ 338B b";;"HD 79211";138.602833342;52.6863611272;;;"4.8";;;6.334;"0.002";"0.002";"-0.03";"0.16";"0.16";"0.64";"0.07";"0.07";"0.58";"0.03";"0.03";"M0.0 V";"4.0";"3.0";"3.0";"4005.0";"51.0";"51.0";;;"GJ 338 B";-2.88019936906857;2.53898419210002;5.03761519636853;128;0.0579317884975496
1049;"HD 7924 b";"Confirmed";;;;"0.0273";"0.0017";"0.0017";"1.05";;;"5.39792";"0.00025";"0.00025";"0.05664";"0.00069";"0.00069";"0.058";"0.056";"0.04";;;;"0.003393";2009;"2015-04-29";"332.0";"71.0";"50.0";"2454096.65";;;"2455586.38";"0.086";"0.11";;;;;;;;;;;;;;;;"3.59";"0.2";"0.2";"826.0";;;;;;;;;"Published in a refereed paper";"Radial Velocity";"Radial Velocity";"Theoretical";;;"HD 7924";20.4958333;76.7102778;"7.185";;;;;16.8;"0.1";"0.1";"-0.15";"0.03";"0.03";"0.832";"0.036";"0.036";"0.78";"0.02";"0.02";"K0V";;;;"5177.0";"44.0";"44.0";;;;3.61743524197146;1.35220378032535;16.3500980794189;1277;0.00930581061716013
1050;"HD 7924 c";"Confirmed";;;;"0.0247";"0.0023";"0.0023";;;;"15.299";"0.0033";"0.0033";"0.1134";"0.0014";"0.0014";"0.098";"0.096";"0.069";;;;;2015;"2015-04-29";;;;;;;"2455586.29";"0.4";"0.47";;;;;;;;;;;;;;;;"2.31";"0.21";"0.21";"584.0";;;;;;;;;"Published in a refereed paper";"Radial Velocity";"Radial Velocity";;;;"HD 7924";20.4958333;76.7102778;"7.185";;;;;16.8;"0.1";"0.1";"-0.15";"0.03";"0.03";"0.832";"0.036";"0.036";"0.78";"0.02";"0.02";"K0V";;;;"5177.0";"44.0";"44.0";;;;3.61743524197146;1.35220378032535;16.3500980794189;1277;0.00930581061716013
1051;"HD 7924 d";"Confirmed";;;;"0.0203";"0.0025";"0.0025";;;;"24.451";"0.017";"0.017";"0.1551";"0.0019";"0.0019";"0.21";"0.13";"0.13";;;;;2015;"2015-04-29";"119.0";"210.0";"97.0";;;;"2455579.1";"1.0";"1.0";;;;;;;;;;;;;;;;"1.65";"0.21";"0.21";"499.0";;;;;;;;;"Published in a refereed paper";"Radial Velocity";;;;;"HD 7924";20.4958333;76.7102778;"7.185";;;;;16.8;"0.1";"0.1";"-0.15";"0.03";"0.03";"0.832";"0.036";"0.036";"0.78";"0.02";"0.02";"K0V";;;;"5177.0";"44.0";"44.0";;;;3.61743524197146;1.35220378032535;16.3500980794189;1277;0.00930581061716013
1052;"HD 79498 b";"Confirmed";;;;"1.34";"0.07";"0.07";;;;"1966.0";"41.0";"41.0";"3.13";"0.08";"0.08";"0.59";"0.02";"0.02";;;;"0.063878";2012;"2012-02-03";"221.0";"6.0";"6.0";"2453210.9";"39.0";"39.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Radial Velocity";;;;;"HD 79498";138.7875;23.3755556;"8.03";;;;;49;;;"0.24";"0.06";"0.06";"1.06";;;;;;"G5";"2.7";;;"5740.0";"100.0";"100.0";;;;-33.8358603291624;29.6340982170258;19.441059092783;8182;2.06692054976496
1053;"HD 80606 b";"Confirmed";"3.94";"0.11";"0.11";;;;"0.921";"0.036";"0.036";"111.43637";"0.0009";"0.0009";"0.449";"0.006";"0.006";"0.93366";"0.00043";"0.00043";"89.285";"0.023";"0.023";"0.007688";2001;"2019-06-12";"300.651";"0.109";"0.109";"2454424.857";"0.05";"0.05";;;;"2454876.344";"0.011";"0.011";;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Primary Transit";"Radial Velocity";;;"K";"HD 80606";140.6541667;50.6036111;"8.93";;;;;58.4;"15.0";"15.0";"0.43";"0.06";"0.06";"0.98";"0.1";"0.1";"0.98";"0.07";"0.07";"G5";"7.63";;;"5645.0";"45.0";"45.0";;;;-28.6639215731005;23.4994635988678;45.1299768514967;11841;3.19900303130442
1054;"HD 80653 b";"Confirmed";"0.01762";"0.00135";"0.00135";;;;"0.144";"0.006";"0.006";"0.719573";"2.1e-05";"2.1e-05";"0.0166";"0.0003";"0.0003";;;;"82.1";"2.4";"2.4";;2020;"2021-02-05";;;;;;;"2458134.4244";"0.0007";"0.0007";"2458134.4244";"0.0007";"0.0007";;;;;;;"0.4";"0.14";"0.08";;;;"3.55";"0.26";"0.26";;;;;;;;;;"Published in a refereed paper";"Primary Transit";"Spectrum";"Primary Transit";"2MASS J09212142+1422046 b, EPIC 251279430 b, EPIC 251279430.01, K2-312 b, TIC 55315929 b, TYC 825-1097-1 b, WISE J092121.39+142204.3 b";;"HD 80653";140.339249;14.367923;"9.5";;"8.315";"8.079";;109.86;"0.81";"0.81";"0.28";"0.05";"0.05";"1.18";"0.04";"0.04";"1.22";"0.01";"0.01";"G2";"2.67";"1.2";"1.2";"5950.0";"150.0";"150.0";;;"2MASS J09212142+1422046, EPIC 251279430, K2-312, TIC 55315929, TYC 825-1097-1, WISE J092121.39+142204.3";-81.9289924810749;67.9240070745172;27.2614939791807;28303;2.66029431632502
1055;"HD 81040 b";"Confirmed";;;;"6.86";"0.71";"0.71";;;;"1001.7";"7.0";"7.0";"1.94";;;"0.526";"0.042";"0.042";;;;"0.059582";2005;"2010-12-22";"81.3";"7.2";"7.2";"2452504.0";"12.0";"12.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Radial Velocity";;;;;"HD 81040";140.9458333;20.3644444;"7.72";;;;;32.56;"1.31";"1.31";"-0.16";"0.06";"0.06";"0.96";"0.04";"0.04";"0.86";"0.04";"0.04";"G2/G3";"4.18";;;"5700.0";"50.0";"50.0";;;;-23.7041614381074;19.232384611056;11.3305654178669;4515;0.552600261738267
1056;"HD 81688 b";"Confirmed";;;;"1.77";"0.2";"0.3";;;;"184.02";"0.18";"0.18";"0.66";"0.05";"0.05";"0.0";;;;;;"0.009177";2008;"2016-02-01";;;;"2452335.4";"1.1";"1.1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Radial Velocity";;;;;"HD 81688";142.1666667;45.6013889;"5.41";;;;;88.26;"8.0";"8.0";"-0.359";"0.02";"0.02";"2.1";;;"13.0";;;"K0III-IV";;;;"4753.0";"15.0";"15.0";;;;-48.7706437923074;37.875855015094;63.0608556155041;19717;2.42275061168516
1057;"HD 81817 b";"Confirmed";;;;"27.1";;;;;;"1047.1";;;"3.3";;;;;;;;;;2020;"2020-05-20";;;;;;;;;;;;;;;;;;;;;;;;;"200.0";;;;;;;;;;;;"Published in a refereed paper";"Radial Velocity";"Radial Velocity";;;;"HD 81817";144.270833335;81.309722236;"4.4";;;;;269;"2.0";"2.0";"-0.17";"0.1";"0.1";"4.3";"0.5";"0.5";"83.8";"7.8";"7.8";;"0.15";"0.04";"0.04";"4140.0";"55.0";"55.0";;;;-32.9942775822836;23.7342712834656;265.911756064801;71624;4.51240712462882
1058;"HD 82886 b";"Confirmed";;;;"1.3";"0.1";"0.1";;;;"705.0";"34.0";"34.0";"1.65";"0.06";"0.06";"0.27";"inf";"nan";;;;"0.0132";2011;"2011-09-01";"347.0";"80.0";"80.0";"2455200.0";"160.0";"160.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Radial Velocity";;;;;"HD 82886";143.9375;34.7808333;"7.78";;;;;125;"12.0";"12.0";"-0.31";"0.03";"0.03";"1.06";"0.074";"0.074";"4.8";"0.1";"0.1";"G0";"7.0";"2.0";"2.0";"5112.0";"44.0";"44.0";;;;-82.9938831364855;60.4370164484261;71.3048554078897;33567;0.470502053486252
1059;"HD 82943 b";"Confirmed";"14.5";;;"4.8";;;;;;"442.4";;;"1.19";"0.0";"0.0";"0.203";;;"19.4";;;"0.043336";2003;"2013-09-09";"107.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Radial Velocity";;;;;"HD 82943";143.7083333;-12.1294444;"6.54";;;;;27.46;;;"0.32";;;"1.18";;;"1.12";;;"G0";"3.08";;;"5874.0";;;"IR Excess";;;-21.6390406500122;15.890610624;-5.76992320083546;3540;0.012582244444606
1060;"HD 82943 c";"Confirmed";"14.39";;;"4.78";;;;;;"219.3";;;"0.746";"0.0";"0.0";"0.425";;;"19.4";;;"0.027167";2003;"2013-09-09";"133.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Radial Velocity";;;;;"HD 82943";143.7083333;-12.1294444;"6.54";;;;;27.46;;;"0.32";;;"1.18";;;"1.12";;;"G0";"3.08";;;"5874.0";;;"IR Excess";;;-21.6390406500122;15.890610624;-5.76992320083546;3540;0.012582244444606
1061;"HD 82943 d";"Confirmed";;;;"0.29";"0.031";"0.031";;;;"1078.0";"13.0";"13.0";"2.145";"0.017";"0.017";"0.0";;;;;;;2013;"2013-10-30";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Radial Velocity";;;;;"HD 82943";143.7083333;-12.1294444;"6.54";;;;;27.46;;;"0.32";;;"1.18";;;"1.12";;;"G0";"3.08";;;"5874.0";;;"IR Excess";;;-21.6390406500122;15.890610624;-5.76992320083546;3540;0.012582244444606
1062;"HD 8326 b";"Confirmed";;;;"0.2095";"0.0617";"0.0617";;;;"159.0";"1.44";"1.44";"0.533";"0.001";"0.001";"0.2";"0.11";"0.11";;;;;2019;"2019-04-19";"315.2";"36.5";"36.5";;;;;;;;;;;;;;;;;;;;;;"9.36";"2.72";"2.72";;;;;;;;;;"Published in a refereed paper";"Radial Velocity";"Radial Velocity";;;;"HD 8326";20.53;-26.89;;;;;;30.71;"0.05";"0.05";;;;"0.8";"0.05";"0.05";;;;"K2V";;;;"4914.0";"32.0";"51.0";;;;25.6499820761021;9.60544604345027;-13.8894897603191;3869;1.15040202682301
1063;"HD 83443 b";"Confirmed";;;;"0.4";"0.034";"0.034";"1.04";;;"2.98572";"5.30373e-05";"5.30373e-05";"0.0406";"0.0033";"0.0033";"0.007";"0.0135";"0.007";;;;"0.000932";2002;"2015-02-24";"117.3";"82.2";"82.2";"2452248.9";"0.82";"0.82";;;;;;;;;;;;;;;;;;;"56.0";"1.05";"1.05";;;;;;;;;;"Published in a refereed paper";"Radial Velocity";"Radial Velocity";"Theoretical";;;"HD 83443";144.2958333;-43.2719444;"8.23";;;;;43.54;;;"0.35";;;"0.9";;;"1.04";;;"K0 V";"2.94";;;"5460.0";"100.0";"100.0";;;;-25.743199615348;18.5012044103359;-29.845011458053;6535;1.97015496136599
1064;"HD 8535 b";"Confirmed";;;;"0.68";"0.04";"0.07";;;;"1313.0";"28.0";"28.0";"2.45";"0.06";"0.06";"0.15";"0.05";"0.05";;;;"0.046667";2009;"2010-09-07";"61.0";"43.0";"43.0";"4537.0";"92.0";"92.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Submitted to a professional journal";"Radial Velocity";;;;;"HD 8535";20.9041667;-41.2697222;"7.7";;;;;52.5;"1.6";"1.6";"0.02";;;"1.13";;;"1.19";"0.04";"0.04";"G0V";;;;"6136.0";"18.0";"18.0";;;;36.8623785707532;14.0794452974017;-34.629240046873;9448;0.0486045194378346
1065;"HD 85390 b";"Confirmed";;;;"0.099";"0.01";"0.01";;;;"799.52";"2.41";"2.41";"1.373";"0.035";"0.035";"0.5";"0.05";"0.05";;;;"0.044759";2009;"2019-03-05";"250.0";"8.0";"8.0";;;;;;;;;;;;;;;;;;;;;;"3.8";"0.3";"0.3";;;;;;;;;;"Published in a refereed paper";"Radial Velocity";"Radial Velocity";;;;"HD 85390";147.5083333;-49.7902778;"8.54";;;;;33.96;"1.0";"1.0";"-0.07";"0.03";"0.03";"0.76";;;;;;"K1V";"7.2";;;"5186.0";"54.0";"54.0";;;;-18.4923487130376;11.77714458156;-25.9347933205655;4729;1.2554989052292
1066;"HD 85512 b";"Confirmed";;;;"0.011";"0.0016";"0.0016";;;;"58.43";"0.13";"0.13";"0.26";"0.005";"0.005";"0.11";"0.1";"0.1";;;;"0.023318";2011;"2011-09-01";"178.0";"0.58";"0.58";"2455239.7088868";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Radial Velocity";;;;;"HD 85512";147.7791667;-43.5027778;"7.67";;;;;11.15;;;"-0.33";"0.03";"0.03";"0.69";;;;;;"K5V";"5.61";"0.61";"0.61";"4715.0";"102.0";"102.0";;;;-6.84206384848972;4.31215278313658;-7.67554562673414;447;0.00811387757968634
