"giliese_catalogue_name";"bayer_flamsteed_designation";"proper_name";"absolute_magnitude";"spectral_type";"colour_index";"x_parsecs";"y_parsecs";"z_parsecs";"constellation";"luminosity"
"Gl 228A";;;"10.221";"M3";"1.450";"-0.510998";"10.722973";"1.954403";"Ori";"0.007105587633694735"
"Gl 449";"5Bet Vir";;"3.397";"F8V";"0.518";"-10.914853";"0.443379";"0.336562";"Vir";"3.8124135110429895"
"GJ 1236";;;"12.157";"m";"1.69";"3.800970";"-10.160476";"1.340210";;"0.001194538082933885"
"Gl 519";;;"8.866";"M9";"1.391";"-8.087832";"-3.663676";"6.384340";"CVn";"0.024751413180743125"
"Gl 754.1A";;;"12.083";"DAw...";"0.070";"3.738113";"-10.189776";"-1.461065";;"0.001278792262935846"
"Gl 545";;;"12.698";"M4";"1.59";"-8.865278";"-6.214085";"-1.835363";;"0.0007257716502674271"
"NN 4333";;;"11.495";"M:";"1.524";"10.345664";"-1.748718";"3.266090";"Peg";"0.0021978598727848252"
"NN 3210";;;"14.545";"DZ7";"0.52";"4.295221";"4.800344";"-8.903141";;"0.00013243415351946644"
"Gl 448";"94Bet Leo";"Denebola";"1.933";"A3Vvar";"0.090";"-10.633926";"0.508011";"2.767546";"Leo";"14.682499678319866"
"Gl 688";;;"6.323";"K3V";"0.959";"-0.991140";"-10.934101";"0.682125";"Oph";"0.2575134990410312"
;;;"3.840";"F6V";"0.517";"77.960434";"19.870739";"-59.391283";"Scl";"2.535128630497907"
;;;"4.640";"G8V";"0.735";"71.861112";"32.847239";"-61.294694";"Scl";"1.2133888504649772"
;;;"5.850";"K7";"1.196";"76.291281";"64.151042";"8.017734";"Cet";"0.3981071705534972"
;;;"4.070";"F3V";"0.474";"48.987141";"58.462281";"-64.671646";"Eri";"2.0511621788255643"
;;;"2.360";"A3";"0.202";"42.255045";"80.936530";"40.790012";"Tau";"9.908319448927676"
;"56    Tau";;"0.340";"A0p Si";"-0.107";"39.389327";"84.098442";"37.093862";"Tau";"63.67955209079159"
;;;"5.620";;"0.472";"27.732140";"90.481465";"-32.311496";"Eri";"0.49203953568145065"
;;;"4.450";"G5";"0.690";"7.554750";"26.788029";"96.048567";"Cam";"1.4454397707459268"
;;;"2.600";"F5V";"0.461";"-16.795881";"39.857868";"-90.162347";"Vol";"7.943282347242813"
;;;"2.500";"F8";"0.541";"-47.605940";"83.044806";"28.935009";"Cnc";"8.709635899560805"
;;;"3.100";"G5";"0.615";"-51.725254";"85.293879";"7.032240";"CMi";"5.011872336272721"
;;;"4.640";"G3V";"0.681";"-48.477822";"76.901476";"41.666100";"Cnc";"1.2133888504649772"
;;;"3.180";"F8";"0.509";"-61.159556";"73.194603";"30.034294";"Cnc";"4.655860935229588"
;;;"3.200";"F2";"0.447";"-83.257883";"55.124666";"-5.421818";"Sex";"4.570881896148748"
;;;"3.720";"F7V";"0.505";"-61.092623";"37.896608";"69.508871";"UMa";"2.831391995799379"
;;;"1.360";"F2Vn";"0.387";"-84.515371";"46.040071";"27.156683";"Leo";"24.888573182823905"
;;;"4.390";"G1III/IV";"0.598";"-40.781278";"12.192470";"-90.488845";"Car";"1.5275660582380726"
;;;"3.530";"G0V";"0.561";"-56.992544";"-0.028990";"-82.169635";"Cen";"3.372873086588687"
;;;"3.310";"F8";"0.494";"-60.237720";"-6.897195";"79.522612";"UMa";"4.1304750199016125"
;;;"3.090";"G5";"0.513";"-91.941200";"-14.068094";"36.727493";"Com";"5.05824662003114"
;;;"3.840";"G0V";"0.549";"-92.735928";"-29.900074";"-22.495182";"Vir";"2.535128630497907"
;;;"1.590";"A7V";"0.284";"-92.406581";"-38.174413";"1.911617";"Vir";"20.137242498623884"
;;;"3.370";"G3V";"0.643";"-38.270283";"-22.734484";"-89.546238";"Cen";"3.908408957924019"
;"24    Boo";;"0.580";"G3IV";"0.864";"-51.393838";"-38.950067";"76.430065";"Boo";"51.05049999754062"
;;;"2.400";"A2";"0.170";"-35.173177";"-36.516384";"86.193881";"Dra";"9.549925860214358"
;;;"4.240";"G3V";"0.558";"-42.447196";"-61.234939";"-66.697210";"Lup";"1.7538805018417603"
;;;"1.820";"F0";"0.318";"-7.276399";"-24.146519";"96.767636";"UMi";"16.29296032639722"
;;;"0.870";"K0III-IV";"1.070";"-7.843209";"-37.955110";"-92.183943";"Ara";"39.08408957924019"
;;;"4.640";"G0";"0.713";"-10.519059";"-64.059913";"76.063638";"Her";"1.2133888504649772"
;;;"3.050";"F2/F3IV/V";"0.375";"4.203730";"-73.857314";"-67.286148";"CrA";"5.248074602497725"
;;;"3.680";"G5";"0.537";"8.712581";"-38.248864";"91.984321";"Dra";"2.9376496519615296"
;;;"2.900";"A3III";"0.210";"22.843059";"-85.245562";"-47.025405";"Sgr";"6.025595860743576"
;;;"1.940";"K0III/IV";"1.001";"7.141070";"-22.395317";"-97.198019";"Oct";"14.588142602753482"
;;;"1.710";"A2";"0.066";"49.854061";"-86.618419";"-3.438322";"Aql";"18.03017740859569"
;;;"5.710";;"0.762";"27.123648";"-40.453642";"-87.337338";"Pav";"0.4528975799036206"
;;;"2.790";"F2/F3V";"0.422";"54.022289";"-6.273474";"-83.918030";"Phe";"6.668067692136218"
;;;"3.408";"F0";"0.399";"69.397730";"31.864955";"64.719468";"And";"3.7739835253658565"
;;;"2.368";"A3";"0.262";"88.965550";"45.823032";"2.326074";"Cet";"9.835580562269573"
;;;"7.368";"K7";"1.138";"77.322660";"61.765107";"15.043532";;"0.09835580562269569"
;;;"2.768";"F0/F2IV";"0.345";"15.525285";"56.499971";"-81.158788";"Dor";"6.80455924994638"
;;;"4.358";"F8";"0.657";"-16.638680";"77.069005";"61.672950";"Aur";"1.573258185446468"
;;;"2.828";"F5";"0.100";"-13.637281";"42.830848";"89.440332";"Cam";"6.438726829014612"
;;;"2.028";"A2";"0.233";"-55.723554";"63.963141";"53.137717";"Cnc";"13.452407051486322"
;;;"2.068";"F0";"0.286";"-58.500333";"55.730729";"59.092244";"Lyn";"12.965820353826278"
;;;"2.488";"G0V";"0.551";"-66.768716";"41.164015";"-62.189167";"Ant";"8.806432284180639"
;;;"3.098";"F2";"0.400";"-90.377414";"42.979372";"-2.174092";"Sex";"5.021113054699536"
;;;"1.398";"A0V";"0.068";"-70.300783";"20.339975";"-68.294328";"Vel";"24.032558049332426"
;;;"3.498";"F6V";"0.482";"-90.385906";"-3.160662";"42.900174";"Com";"3.473761519726526"
;;;"2.598";"A5";"0.349";"-97.186192";"-14.670222";"18.964670";"Vir";"7.957927898970921"
;;;"3.178";"F7V";"0.513";"-93.144353";"-18.308779";"-31.763944";"Crv";"4.664445252037797"
;;;"5.588";"G1V";"0.483";"-86.013954";"-20.718286";"46.822882";"Com";"0.5067572841772822"
;;;"4.078";"G";"0.721";"-42.736600";"-10.448066";"89.913575";"Dra";"2.0361042011319683"
;;;"0.698";"B8V";"-0.061";"-57.021709";"-17.334867";"-80.424478";"Cen";"45.793095315174384"
;;;"3.228";"F0/F2IV/V";"0.436";"-44.629137";"-14.282370";"-88.454983";"Cen";"4.454510633598983"
;;;"1.658";"F0V";"0.400";"-86.469641";"-29.124968";"-41.167555";"Hya";"18.914723628330144"
;;;"2.498";"F2";"0.371";"-88.485014";"-39.097379";"25.726005";"Com";"8.72569442770116"
;;;"2.858";"G5";"0.986";"-73.355208";"-67.727267";"-7.215321";"Lib";"6.263253647582224"
;;;"3.738";"G0";"0.566";"-67.483263";"-65.066935";"35.104603";"Boo";"2.784838407805003"
;;;"4.328";"G2V";"0.664";"-58.700245";"-63.983840";"-49.803408";"Lib";"1.61733505579985"
;;;"1.828";"F2IV/V";"0.353";"-35.778439";"-53.130120";"-76.922842";"Nor";"16.173350557998514"
;;;"3.918";"F5";"0.480";"-43.274734";"-81.953419";"37.828091";"Her";"2.3593914430440477"
;;;"3.208";"F2V";"0.546";"-33.793246";"-90.743904";"-25.369082";"Oph";"4.537326169379412"
;;;"0.908";"A1V";"0.015";"-29.469181";"-92.867153";"22.961880";"Her";"37.739835253658576"
;;;"3.378";"G0";"0.465";"-7.874122";"-34.823495";"93.516589";"Dra";"3.8797165729369056"
;;;"3.278";"F8";"0.410";"-14.074787";"-80.078165";"58.390220";"Her";"4.2540246294406785"
;;;"2.878";"F2";"0.427";"7.876603";"-68.057565";"72.980526";"Lyr";"6.148936385126262"
;;;"3.098";"F6V";"0.502";"25.721470";"-54.084110";"-80.208136";"Tel";"5.021113054699536"
;;;"5.978";"K0";"0.780";"32.622289";"-65.975011";"-67.846254";"Sgr";"0.3538343568147222"
;;;"3.228";"F8";"0.461";"43.271714";"-86.594160";"25.476267";"Aql";"4.454510633598983"
;;;"1.198";"K2III";"1.228";"40.121454";"-61.547727";"-67.986575";"Sgr";"28.89348981559081"
;;;"3.988";"F5V";"0.505";"51.453344";"-61.933076";"-59.471654";"Mic";"2.212075776464127"
;;;"2.398";"A3";"0.329";"60.764357";"-71.233081";"35.405805";"Vul";"9.56753368618241"
;;;"3.448";"G5";"0.696";"69.774786";"-7.171844";"71.414802";"And";"3.6374748564263233"
;;;"3.326";"F5";"0.490";"77.828613";"13.189754";"61.715943";"And";"4.070052394402334"
;;;"3.186";"F6V";"0.480";"53.268485";"21.262660";"-82.161353";"Eri";"4.630202658603084"
;;;"6.966";"K7";"1.185";"72.389041";"68.212541";"12.124193";"Cet";"0.142429516497329"
;;;"1.546";"G5";"1.004";"54.071315";"84.320551";"-2.541221";"Eri";"20.970075785446472"
;;;"1.756";"K0";"1.074";"44.844318";"88.908990";"-11.148938";"Eri";"17.282238729497653"
;;;"0.196";"A2Vn";"0.052";"25.891073";"53.509470";"80.662902";"Cam";"72.71098031596613"
;;;"3.436";"F6V";"0.533";"24.296738";"66.496355";"-70.908558";"Cae";"3.677900704223862"
;;;"3.826";"F5V";"0.491";"-0.065029";"47.043061";"-88.470654";"Dor";"2.568029450667349"
;;;"4.506";"G5";"0.671";"-1.561628";"39.233016";"92.187049";"Cam";"1.3727770182085481"
;;;"2.366";"A0";"0.118";"-35.436050";"31.693050";"88.204065";"UMa";"9.853715068586181"
